,Name,Ticker,Price,Sector,MarketCap,PE,ROE,ROA
CEMI,CEMI,"Chembio Diagnostics, Inc.",,,,,,
CERC,CERC,Cerecor Inc.,,,,,,
CETX,CETX,Cemtrex Inc.,,,,,,
CFBI,CFBI,"Community First Bancshares, Inc.",,,,,,
CFBK,Central Federal Corporation,CFBK,10.38,Financial Services,68272064,5.4431047,0.1521,0.01192
CFRX,CFRX,ContraFect Corporation,,,,,,
CGIX,CGIX,"Cancer Genetics, Inc.",,,,,,
CGRO,CGRO,Collective Growth Corporation,,,,,,
CHCI,"Comstock Holding Companies, Inc.",CHCI,3.11,Real Estate,25065790,30.194174,0.12735,0.04768
CHEKZ,CHEKZ,Check,,,,,,
CHPM,CHPM,CHP Merger Corp.,,,,,,
CIIC,CIIC,CIIG Merger Corp.,,,,,,
CIVB,"Civista Bancshares, Inc.",CIVB,13.69,Financial Services,219569792,7.5760927,0.090450004,0.01192
CJJD,CJJD,China Jo,,,,,,
CKPT,CKPT,"Checkpoint Therapeutics, Inc.",,,,,,
CLBS,CLBS,"Caladrius Biosciences, Inc.",,,,,,
CLDB,Cortland Bancorp,CLDB,14.0,Financial Services,59188640,9.259259,0.092530005,0.00937
CLDX,CLDX,"Celldex Therapeutics, Inc.",,,,,,
CLEU,CLEU,China Liberal Education Holdings Limited,,,,,,
CLGN,CLGN,CollPlant Biotechnologies Ltd.,,,,,,
CLPT,CLPT,ClearPoint Neuro Inc.,,,,,,
CLRB,CLRB,"Cellectar Biosciences, Inc.",,,,,,
CLRO,CLRO,"ClearOne, Inc.",,,,,,
CLSK,CLSK,"CleanSpark, Inc.",,,,,,
CLSN,CLSN,Celsion Corporation,,,,,,
CLWT,CLWT,Euro Tech Holdings Company Limited,,,,,,
CNET,CNET,"ChinaNet Online Holdings, Inc.",,,,,,
CNNB,"Cincinnati Bancorp, Inc.",CNNB,9.1,Financial Services,27078144,47.395836,0.01907,0.0026800002
CNSP,CNSP,"CNS Pharmaceuticals, Inc.",,,,,,
CNTY,CNTY,"Century Casinos, Inc.",,,,,,
COCP,COCP,"Cocrystal Pharma, Inc.",,,,,,
CODA,"Coda Octopus Group, Inc.",CODA,5.73,Industrials,61608388,19.965157,0.10406999,0.06865
CODX,CODX,Co,,,,,,
COFS,"ChoiceOne Financial Services, Inc.",COFS,28.38,Financial Services,220727712,17.55102,0.06311,0.0085
COOP,Mr. Cooper Group Inc.,COOP,13.21,Financial Services,1214923648,4.205667,0.14894,0.00922
CORT,Corcept Therapeutics Incorporated,CORT,16.11,Healthcare,1862283904,18.495983,0.30485,0.21281
CPAA,CPAA,Conyers Park II Acquisition Corp.,,,,,,
CPAH,CPAH,CounterPath Corporation,,,,,,
CPRX,"Catalyst Pharmaceuticals, Inc.",CPRX,4.72,Healthcare,488118784,11.597051,0.56938,0.30392
CPSH,CPS Technologies Corp.,CPSH,2.79,Technology,36848644,51.666664,0.12693,0.04797
CPST,CPST,Capstone Turbine Corporation,,,,,,
CPTAG,CPTAG,Capitala Finance Corp.,,,,,,
CRDF,CRDF,"Cardiff Oncology, Inc.",,,,,,
CREG,CREG,China Recycling Energy Corporation,,,,,,
CREX,CREX,"Creative Realities, Inc.",,,,,,
CRSA,Crescent Acquisition Corp,CRSA,10.29,Financial Services,321562496,105.0,0.61285,-0.0014
CRWS,"Crown Crafts, Inc.",CRWS,4.68,Consumer Cyclical,47674224,7.2445817,0.15654,0.086389996
CSBR,CSBR,"Champions Oncology, Inc.",,,,,,
CTIB,CTIB,Yunhong CTI Ltd.,,,,,,
CTIC,CTIC,CTI BioPharma Corp.,,,,,,
CTSO,CTSO,Cytosorbents Corporation,,,,,,
CTXR,CTXR,"Citius Pharmaceuticals, Inc.",,,,,,
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.",CUBA,3.62,Financial Services,22203848,1.8982695,0.26578,-0.00691
CUE,CUE,"Cue Biopharma, Inc.",,,,,,
CVCY,Central Valley Community Bancorp,CVCY,13.75,Financial Services,171536752,9.347383,0.08284,0.01081
CVV,CVV,CVD Equipment Corporation,,,,,,
CWBR,CWBR,"CohBar, Inc.",,,,,,
